#
# Display names of the application in all available languages.
# Keys without an entry, and entries without a display name, are displayed as the raw
# identifier provided by the backend. Values that only exist at runtime, e.g. the names of
# the installed scriptures or OCR engines, are always displayed as provided by the backend.
#
key,german,english
already_running,Die Anwendung läuft bereits.,The application is already running.
alt,Alt,Alt
alt_control,Alt + Strg,Alt + Ctrl
alt_shift,Alt + Umschalt,Alt + Shift
auto_search,Automatische Suche,Automatic search
character_recognition_ocr_engine,Zeichenerkennung,Character recognition
click_action,Aktion bei Klick,Click action
control,Strg,Ctrl
control_shift,Strg + Umschalt,Ctrl + Shift
dbu,DBU,DBU
dwell_duration,Verweildauer,Dwell duration
elb,Elberfelder Bibel,Elberfelder Bibel
english,Englisch,English
esv,English Standard Version,English Standard Version
eu,Einheitsübersetzung,Einheitsübersetzung
fallback_versification_name,Ersatz-Verszählung,Fallback versification
folder,Ordner,Folder
german,Deutsch,German
gnb,Gute Nachricht Bibel,Gute Nachricht Bibel
hfa,Hoffnung für alle,Hoffnung für alle
hide_window,Fenster ausgeblendet,Window hidden
hotkey,Tastenkürzel,Shortcut
key,Taste,Key
kjv,King James Version,King James Version
language,Sprache,Language
layout_recognition_ocr_engine,Layouterkennung,Layout recognition
line_recognition,Zeilenerkennung,Line recognition
lookup,Nachschlagen,Lookup
LookupBrowser,Im Browser öffnen,Open in browser
lut,Lutherbibel,Lutherbibel
manual_reference_search,Manuelle Referenzsuche,Manual reference search
meng,Menge Bibel,Menge Bibel
modifier,Zusatztaste,Modifier
movement_tolerance,Bewegungstoleranz,Movement tolerance
name,Name,Name
neu,Neue evangelistische Übersetzung,Neue evangelistische Übersetzung
ngu,Neue Genfer Übersetzung,Neue Genfer Übersetzung
nirv,New International Reader's Version,New International Reader's Version
niv,New International Version,New International Version
nlb,Neues Leben. Die Bibel,Neues Leben. Die Bibel
None,Keine Aktion,No action
notifications,Benachrichtigungen,Notifications
notifications_none,Keine neuen Benachrichtigungen.,No new notifications.
ocr,Texterkennung,Text recognition
ocr_auto,Automatische Texterkennung,Automatic text recognition
paragraph_recognition,Absatzerkennung,Paragraph recognition
poll_interval,Abfrageintervall,Poll interval
recognition_algorithm,Erkennungsverfahren,Recognition algorithm
scripture,Bibelausgabe,Scripture
scriptures_import,Ordner mit Bibelausgaben wählen,Choose a folder with scriptures
scriptures_import_empty,Aus diesem Ordner konnte keine Bibelausgabe übernommen werden.,No scripture could be taken from this folder.
scriptures_import_hint,Füge Bibelausgaben als USX-Dateien in ZIP-Archiven hinzu.,Add scriptures as USX files in zip archives.
scriptures_none,Keine Bibelausgabe geladen.,No scriptures loaded.
shift,Umschalt,Shift
slt,Schlachter,Schlachter
tessdata_path,Tesseract Datenverzeichnis,Tesseract data folder
translations,Übersetzungen,Translations
tray_exit,Beenden,Exit
tray_open_github,GitHub öffnen,Open GitHub
tray_show_window,Fenster anzeigen,Show window
ui,Ansicht,Display
update_available,Ein Update ist bereit zur Installation.,An update is ready to install.
update_check,Nach Updates suchen,Check for updates
update_check_failed,Die Suche nach Updates ist fehlgeschlagen.,The update check failed.
update_check_finished,Die Anwendung ist auf dem neuesten Stand.,The application is up to date.
update_check_running,Suche nach Updates …,Checking for updates …
update_now,Jetzt aktualisieren!,Update now!
updates,Updates,Updates
vk_0,0,0
vk_1,1,1
vk_2,2,2
vk_3,3,3
vk_4,4,4
vk_5,5,5
vk_6,6,6
vk_7,7,7
vk_8,8,8
vk_9,9,9
vk_a,A,A
vk_b,B,B
vk_backspace,Rücktaste,Backspace
vk_c,C,C
vk_capital,Feststelltaste,Caps Lock
vk_clear,Clear,Clear
vk_d,D,D
vk_delete,Entf,Delete
vk_down,Pfeil ab,Down arrow
vk_e,E,E
vk_end,Ende,End
vk_escape,Esc,Esc
vk_f,F,F
vk_g,G,G
vk_h,H,H
vk_home,Pos1,Home
vk_i,I,I
vk_insert,Einfg,Insert
vk_j,J,J
vk_k,K,K
vk_l,L,L
vk_left,Pfeil links,Left arrow
vk_m,M,M
vk_n,N,N
vk_o,O,O
vk_p,P,P
vk_page_down,Bild ab,Page down
vk_page_up,Bild auf,Page up
vk_pause,Pause,Pause
vk_q,Q,Q
vk_r,R,R
vk_return,Eingabe,Enter
vk_right,Pfeil rechts,Right arrow
vk_s,S,S
vk_space,Leertaste,Space
vk_t,T,T
vk_tab,Tabulator,Tab
vk_u,U,U
vk_up,Pfeil auf,Up arrow
vk_v,V,V
vk_w,W,W
vk_x,X,X
vk_y,Y,Y
vk_z,Z,Z
vxb,Volxbibel,Volxbibel
zb,Zürcher Bibel,Zürcher Bibel
